id,parent_id/id,code,type,name,reconcile,user_type/id
md_acc_31320,md_acc_31300,31320,Regular,Capital nevărsat privind acoperirea pierderilor anilor precedenţi,TRUE,account.data_account_type_cash
md_acc_31400,md_acc_31000,31400,View,Capital neînregistrat,TRUE,account.data_account_type_view
md_acc_31410,md_acc_31400,31410,Regular,Acţiuni neînregistrate emise la înfiinţarea societăţii ,TRUE,account.data_account_type_cash
md_acc_31420,md_acc_31400,31420,Regular,Părţi sociale pînă la înregistrarea de stat a majorării capitalului social ,TRUE,account.data_account_type_cash
md_acc_31500,md_acc_31000,31500,Regular,Capital retras,TRUE,account.data_account_type_cash
md_acc_32000,md_acc_30000,32000,View,REZERVE,TRUE,account.data_account_type_view
md_acc_32100,md_acc_32000,32100,Regular,Capital de rezervă ,TRUE,account.data_account_type_cash
md_acc_32200,md_acc_32000,32200,Regular,Rezerve statutare,TRUE,account.data_account_type_cash
md_acc_32300,md_acc_32000,32300,Regular,Alte rezerve,TRUE,account.data_account_type_cash
md_acc_33000,md_acc_30000,33000,View,PROFIT NEREPARTIZAT (PIERDERE NEACOPERITĂ),TRUE,account.data_account_type_view
md_acc_33100,md_acc_33000,33100,Regular,Corecţii ale rezultatelor anilor precedenţi ,TRUE,account.data_account_type_cash
md_acc_33200,md_acc_33000,33200,Regular,Profit nerepartizat (pierdere neacoperită) al anilor precedenţi ,TRUE,account.data_account_type_cash
md_acc_33300,md_acc_33000,33300,Regular,Profit net (pierdere netă) al perioadei de gestiune,TRUE,account.data_account_type_cash
md_acc_33400,md_acc_33000,33400,Regular,Profit utilizat al perioadei de gestiune,TRUE,account.data_account_type_cash
md_acc_33500,md_acc_33000,33500,Regular,Rezultat din tranziţia la noile reglementări contabile ,TRUE,account.data_account_type_cash
md_acc_34000,md_acc_30000,34000,View,ALTE ELEMENTE DE CAPITAL PROPRIU,TRUE,account.data_account_type_view
md_acc_34100,md_acc_34000,34100,View,Fonduri,TRUE,account.data_account_type_view
md_acc_34110,md_acc_34100,34110,Regular,Fondul de active imobilizate,TRUE,account.data_account_type_cash
md_acc_34120,md_acc_34100,34120,Regular,Fondul de autofinanţare,TRUE,account.data_account_type_cash
md_acc_34130,md_acc_34100,34130,Regular,Alte fonduri,TRUE,account.data_account_type_cash
md_acc_34200,md_acc_34000,34200,View,Subvenţii entităţilor cu proprietate publică,TRUE,account.data_account_type_view
md_acc_34210,md_acc_34200,34210,Regular,Subvenţii aferente activelor imobilizate,TRUE,account.data_account_type_cash
md_acc_34220,md_acc_34200,34220,Regular,Alte subvenţii ,TRUE,account.data_account_type_cash
md_acc_34300,md_acc_34000,34300,Regular,Alte elemente de capital propriu,TRUE,account.data_account_type_cash
md_acc_35000,md_acc_30000,35000,View,REZULTAT FINANCIAR TOTAL,TRUE,account.data_account_type_view
md_acc_35100,md_acc_35000,35100,Regular,Rezultat financiar total,TRUE,account.data_account_type_cash
md_acc_40000,md_acc_0,40000,View,DATORII PE TERMEN LUNG,TRUE,account.data_account_type_view
md_acc_41000,md_acc_40000,41000,View,DATORII FINANCIARE PE TERMEN LUNG,TRUE,account.data_account_type_view
md_acc_41100,md_acc_41000,41100,View,Credite bancare pe termen lung,TRUE,account.data_account_type_view
md_acc_41110,md_acc_41100,41110,Regular,Credite bancare în monedă naţională,TRUE,account.data_account_type_liability
md_acc_41120,md_acc_41100,41120,Regular,Credite bancare în valută străină,TRUE,account.data_account_type_liability
md_acc_41130,md_acc_41100,41130,Regular,Datorii convertibile privind creditele bancare,TRUE,account.data_account_type_liability
md_acc_41140,md_acc_41100,41140,Regular,Alte credite bancare pe termen lung,TRUE,account.data_account_type_liability
md_acc_41200,md_acc_41000,41200,View,Împrumuturi pe termen lung,TRUE,account.data_account_type_view
md_acc_41210,md_acc_41200,41210,Regular,Împrumuturi din părţi neafiliate,TRUE,account.data_account_type_liability
md_acc_41220,md_acc_41200,41220,Regular,Împrumuturi din părţi afiliate,TRUE,account.data_account_type_liability
md_acc_41230,md_acc_41200,41230,Regular,Împrumuturi din emisiunea de obligaţiuni,TRUE,account.data_account_type_liability
md_acc_41240,md_acc_41200,41240,Regular,Împrumuturi de la personalul entităţii,TRUE,account.data_account_type_liability
md_acc_41250,md_acc_41200,41250,Regular,Datorii convertibile privind împrumuturile ,TRUE,account.data_account_type_liability
